aSDomain,correlation,num_genes,num_siderophore_group,num_siderophore_group_filter_2,num_siderophore_group_filter_4
SBP_bac_5,1,2,1,0,0
CoA_transf_3,0.5,1,1,1,1
SfLAP,0.593744976738276,5,1,1,1
PGM_PMM_III,0.931717633078084,10,1,1,1
YkyA,NaN,10,2,1,1
TOBE,0.5,1,1,1,1
SnoaL_2,0.92180468658998,3,1,1,0
AP_endonuc_2,NaN,10,2,1,1
Acetyltransf_6,0.5,1,1,1,1
Abhydrolase_6,1,2,1,0,0
Semialdhyde_dh,0.5,1,1,1,1
PGM_PMM_II,0.931717633078084,10,1,1,1
ThiS,NaN,6,1,1,1
TetR_C_11,0.5,1,1,1,1
DUF2017,0.380102444743802,6,1,1,1
Pectate_lyase,0.5,1,1,1,1
OCD_Mu_crystall,0.991546931624001,10,1,1,1
Methyltransf_11,0.971024994972946,26,4,3,3
HATPase_c_2,0.5,1,1,1,1
Flot,0.5,1,1,1,1
RNase_H,0.972515333183623,3,1,1,0
Glyco_hydro_38N,0.5,1,1,1,1
BPL_LplA_LipB,0.869906733487889,9,1,1,1
2OG-FeII_Oxy_2,0.5,1,1,1,1
DUF5392,-0.0862557205820273,10,1,1,1
DUF1801,0.721563049867569,9,1,1,1
DUF21,0.566219395386081,12,3,1,1
HTH_3,0.995051342126531,12,2,2,1
DUF2283,0.939594384432608,10,1,1,1
NUDIX,1,2,2,0,0
4HBT,1,2,2,0,0
dNK,0.784806847389533,6,1,1,1
CN_hydrolase,0.5,1,1,1,1
Ald_Xan_dh_C2,0.5,1,1,1,1
Glyco_hydro_46,0.5,1,1,1,1
Ala_racemase_N,-0.164989658712561,10,1,1,1
UPF0014,0.992461616289336,3,1,1,0
PAP2,NaN,10,1,1,1
adh_short_C2,0.955724403525004,30,6,3,3
SNF2-rel_dom,0.5,1,1,1,1
DoxX_2,0.5,1,1,1,1
ClpS,NaN,6,1,1,1
DUF6286,0.5,1,1,1,1
PP-binding,0.776053768051468,56,9,6,6
Ferritin,0.121748934500584,7,1,1,1
Chorismate_bind,0.999791930957582,29,3,3,3
F420H2_quin_red,0.142925408996582,8,1,1,1
SASP,NaN,10,2,1,1
AA_permease,NaN,6,1,1,1
Formyl_trans_N,0.813742713658744,21,5,2,2
Imm49,0.50484615045619,9,1,1,1
CorC_HlyC,0.705240734554081,8,1,1,1
Cas_Cas5d,0.5,1,1,1,1
Gp_dh_C,0.5,1,1,1,1
Ank_2,0.5,1,1,1,1
Aldo_ket_red,0.582809912328885,5,1,1,1
STAS,1,2,1,0,0
ADH_N_2,0.5,1,1,1,1
MazG,0.5,1,1,1,1
AAT,1,2,1,0,0
IucA_IucC,0.845996628923083,46,8,5,5
LNT_N,0.5,1,1,1,1
ATP-grasp_4,0.5,1,1,1,1
Cas_CT1975,0.5,1,1,1,1
DUF2071,0.429970269738906,10,1,1,1
DUF3048,0.449312398468671,9,1,1,1
ADH_N,0.5,1,1,1,1
DUF6325,0.905896372168919,10,1,1,1
DUF1905,0.842123179743054,3,1,1,0
Ham1p_like,0.292480243328383,6,1,1,1
Rho_RNA_bind,0.789953926748385,10,1,1,1
SpoIID,0.292570079271471,10,1,1,1
DUF2235,0.937556759402337,8,1,1,1
DUF664,0.506706943868998,4,1,1,0
MarR,0.999970679329656,11,2,1,1
DUF3311,0.973811558517814,3,1,1,0
HTH_26,0.5,1,1,1,1
TetR_N,0.843820283034484,23,4,3,2
OrfB_IS605,0.892996128007339,11,3,1,1
Seryl_tRNA_N,0.129791078693005,6,1,1,1
DUF3459,0.5,1,1,1,1
FAA_hydrolase,1,2,1,0,0
Semialdhyde_dhC,0.5,1,1,1,1
Peptidase_M24,0.715385231363273,8,1,1,1
ACP,0.5,1,1,1,1
FtsX,0.5,1,1,1,1
Ribonuclease,0.5,1,1,1,1
Sugar-bind,0.5,1,1,1,1
Fer4,0.687743875217105,9,1,1,1
Thioesterase,0.995467347161277,29,3,3,3
p450,0.5,1,1,1,1
Wzy_C,0.5,1,1,1,1
2_5_RNA_ligase2,NaN,6,1,1,1
CbiQ,0.999826748506658,19,2,2,2
Transketolase_C,0.954042596681123,8,1,1,1
Alpha-amylase,0.5,1,1,1,1
Molydop_binding,0.222245919739694,9,1,1,1
Polyketide_cyc,1,2,1,0,0
Usp,0.848825658202852,11,3,1,1
WXG100,0.5,1,1,1,1
YbaB_DNA_bd,0.5,1,1,1,1
GRAM,NaN,5,1,1,1
Carbam_trans_C,0.194313297239554,6,1,1,1
Methyltransf_19,0.935551187421425,8,1,1,1
Alpha-mann_mid,0.5,1,1,1,1
MDMPI_N,1,2,1,0,0
Condensation,0.995791247974331,56,9,6,6
MMPL,0.5,1,1,1,1
Virul_fac_BrkB,1,2,1,0,0
