aSDomain,correlation,num_genes,num_siderophore_group,num_siderophore_group_filter_2,num_siderophore_group_filter_4
Acyl-CoA_dh_N,0.5,1,1,1,1
Asp_Glu_race,0.5,1,1,1,1
FAD_binding_6,0.5,1,1,1,1
HTH_OrfB_IS605,0.892623675359106,12,3,1,1
Metal_hydrol,0.0211829601531885,9,1,1,1
IMPDH,0.5,1,1,1,1
PYC_OADA,0.969397400803444,8,1,1,1
DUF5911,0.5,1,1,1,1
Transket_pyr,0.954042596681123,8,1,1,1
Biotin_carb_C,0.969397400803444,8,1,1,1
Pyridoxal_deC,0.999940025570648,14,2,2,2
MFS_1,0.9692237288235,54,7,6,5
Glyoxalase,0.96754411924823,28,4,4,4
DUF6479,0.811838404744777,10,1,1,1
CPSase_L_D2,0.969397400803444,8,1,1,1
CRISPR_Cse2,0.5,1,1,1,1
DHHA2,NaN,10,1,1,1
rve,-0.0903846153846154,9,1,1,1
FMO-like,0.5,1,1,1,1
HTH_31,0.5,1,1,1,1
DUF3048_C,0.449312398468671,9,1,1,1
FUSC_2,0.5,1,1,1,1
DUF2510,0.785080275793885,6,1,1,1
TauE,0.0341844973758291,7,1,1,1
PLDc_N,-0.0862557205820273,10,1,1,1
Penicil_amidase,0.997581858571678,9,2,1,1
GATase_6,0.999904308771078,10,2,1,1
MOSC_N,0.5,1,1,1,1
SBP_bac_11,0.5,1,1,1,1
Cupin_2,0.566355346759977,11,2,2,1
Pirin_C,0.5,1,1,1,1
DUF429,0.5,1,1,1,1
Peptidase_M23,-0.188247282081046,10,1,1,1
NAD_binding_8,0.5,1,1,1,1
FAD-oxidase_C,0.129791078693006,6,1,1,1
Putative_PNPOx,0.749405296905071,10,1,1,1
Esterase,0.955052511245542,30,5,3,3
MraY_sig1,0.5,1,1,1,1
AMP-binding,0.850971956874177,66,11,7,7
SWIM,0.5,1,1,1,1
FdhD-NarQ,0.176020177495059,10,1,1,1
TctA,1,2,1,0,0
Nitroreductase,0.5,1,1,1,1
Mob_synth_C,0.22126590859375,10,1,1,1
CMD,0.5,1,1,1,1
PGM_PMM_I,0.931717633078084,10,1,1,1
FG-GAP,0.5,1,1,1,1
DUF3140,0.942621241466881,8,1,1,1
FhuF,0.850640120796682,45,7,5,5
Aminotran_5,0.5,1,1,1,1
CitG,0.5,1,1,1,1
Fer2_2,0.99932568296938,11,2,1,1
DUF2867,0.5,1,1,1,1
SPOB_a,0.5,1,1,1,1
UTRA,0.5,1,1,1,1
FecCD,0.823126840731851,72,11,8,8
Creatinase_N,0.49912727003077,3,1,1,0
DUF6355,1,2,1,0,0
Peptidase_C14,0.962711591373796,8,1,1,1
HTH_24,0.999992381559952,7,2,1,1
AA_kinase,0.970808816501699,11,4,1,1
YhhN,0.966834622456919,9,1,1,1
K_oxygenase,0.863059670190504,42,9,5,5
YjdM,1,2,1,0,0
IclR,1,2,1,0,0
E1_dh,0.985378591254554,8,1,1,1
Glycos_transf_2,0.5,1,1,1,1
Chlorophyllase,0.5,1,1,1,1
MerR_1,0.977295607134215,9,1,1,1
A_deaminase,0.955564114760315,4,1,1,0
SHMT,NaN,6,1,1,1
MdcG,0.5,1,1,1,1
MM_CoA_mutase,0.0148259352673897,10,1,1,1
Mal_decarbox_Al,0.5,1,1,1,1
NADHdh,0.628277574443798,8,1,1,1
Prok-JAB,NaN,6,1,1,1
SLT,0.5,1,1,1,1
DUF3103,0.5,1,1,1,1
TctB,1,2,1,0,0
SpoIIE,1,2,2,0,0
AsnC_trans_reg,0.999991762283936,7,2,1,1
HisKA_3,1,2,2,0,0
Band_7,0.5,1,1,1,1
FAD_binding_3,0.963866239279549,3,1,1,0
SpoIIID,NaN,9,1,1,1
ACPS,0.5,1,1,1,1
B12-binding,0.697996754533599,10,1,1,1
Sugar_tr,0.993112205703134,10,1,1,1
GCS2,0.5,1,1,1,1
BPD_transp_1_N,1,2,1,0,0
Oxidored_q2,-0.0276546758416921,9,1,1,1
PAS_4,1,2,2,0,0
Peripla_BP_4,0.5,1,1,1,1
RNase_PH,NaN,6,1,1,1
Cas3_C,0.5,1,1,1,1
LysR_substrate,0.601517836898502,7,2,1,1
DUF6005,NaN,10,2,1,1
Pirin,0.5,1,1,1,1
DapB_N,0.959052636425386,9,1,1,1
Helicase_C,0.5,1,1,1,1
DUF6188,0.5,1,1,1,1
HTH_1,0.601517836898502,7,2,1,1
MeaB,0.891297162744538,10,1,1,1
AIM24,0.5,1,1,1,1
DUF3670,0.5,1,1,1,1
Peripla_BP_2,0.913046405639968,91,14,10,10
TetR_C_1,0.5,1,1,1,1
CRISPR_assoc,0.5,1,1,1,1
Isochorismatase,0.923059103816468,44,6,5,5
ABC_membrane,0.555742864426697,21,5,2,2
Peripla_BP_3,0.5,1,1,1,1
MacB_PCD,0.5,1,1,1,1
CAP,0.5,1,1,1,1
TPR_19,0.5,1,1,1,1
Pectate_lyase_4,1,2,1,0,0
Mn_catalase,0.442801099509955,10,1,1,1
ECF_trnsprt,0.900473159478168,10,1,1,1
fn3,0.5,1,1,1,1
Asp23,0.9884422019052,11,2,1,1
Lon_C,0.659523088644854,6,1,1,1
RibD_C,1,2,1,0,0
Glyco_hydro38C2,0.5,1,1,1,1
PGM_PMM_IV,0.931717633078084,10,1,1,1
LIP,0.5,1,1,1,1
SPASM,0.131855451698269,6,1,1,1
Acetyltransf_1,0.954416378298291,39,8,4,4
MbtH,0.882076036535542,41,7,4,4
MgtC,-0.0843010528639931,10,2,1,1
HxlR,0.5,1,1,1,1
XdhC_C,0.5,1,1,1,1
ABC2_membrane,0.848900833349819,10,2,2,1
Biotin_lipoyl,0.969397400803444,8,1,1,1
Glycos_transf_4,0.5,1,1,1,1
SGL,0.5,1,1,1,1
DUF4916,0.960173695793803,8,1,1,1
Transposase_20,0.5,1,1,1,1
Abhydrolase_3,0.785923571947912,4,1,1,0
OrfB_Zn_ribbon,0.892996128007339,11,3,1,1
tRNA-synt_2b,0.129791078693005,6,1,1,1
HNH_3,0.5,1,1,1,1
Formyl_trans_C,0.854237344419419,20,4,2,2
DUF2975,0.5,1,1,1,1
Acetyltransf_8,0.970404494951577,21,4,3,3
HTH_18,0.975527776602873,21,4,2,2
Sulfate_transp,1,2,1,0,0
DUF6328,0.920247932262841,10,1,1,1
oligo_HPY,1,2,1,0,0
NAPRTase_N,0.546976688777666,6,1,1,1
TipAS,0.977295607134215,9,1,1,1
Response_reg,0.721199917896787,5,3,1,0
GAF,1,2,2,0,0
SsgA,0.131855451698269,6,1,1,1
Rrf2,NaN,10,1,1,1
Proton_antipo_N,0.935875144069681,9,1,1,1
DUF5362,0.131039604156162,10,1,1,1
HpcH_HpaI,0.997614208848962,10,1,1,1
Whib,0.963214020256674,8,1,1,1
Acyl-CoA_dh_M,0.5,1,1,1,1
Ald_Xan_dh_C,0.5,1,1,1,1
MOSC,0.5,1,1,1,1
SSF,0.999457479221353,4,2,1,0
BPD_transp_1,0.765410769946231,10,3,2,1
DUF3472,0.5,1,1,1,1
PIN,0.5,1,1,1,1
TfoX_N,0.5,1,1,1,1
P-II,-0.188247282081046,10,1,1,1
TctC,1,2,1,0,0
Proton_antipo_M,0.0260982904109308,9,1,1,1
PTS_EIIB,0.743735475892174,6,1,1,1
SBP_bac_1,0.5,1,1,1,1
SIP,0.976663940303586,20,4,2,2
Ammonium_transp,0.0745987045659676,10,1,1,1
Globin,0.5,1,1,1,1
CBS,0.998452906502297,17,3,2,2
Cellulase,0.761475053226961,5,1,1,1
TetR_C_33,0.3804832089504,9,1,1,1
Acyl-CoA_dh_1,0.5,1,1,1,1
FHA,0.930666446359601,4,1,1,0
ABC_tran,0.662112885034731,51,9,6,6
SUKH_6,0.5,1,1,1,1
Biotin_carb_N,0.969397400803444,8,1,1,1
Jacalin,0.5,1,1,1,1
FhuF_C,0.5,1,1,1,1
DUF6153,1,2,1,0,0
Prenyltrans,0.675465241713418,9,1,1,1
DUF6193,1,2,1,0,0
DHH,NaN,10,1,1,1
DUF772,0.5,1,1,1,1
FAD_binding_9,0.999674207744046,10,2,1,1
Glyco_hydro_18,0.999511171134294,11,2,1,1
GrpE,0.5,1,1,1,1
DUF190,0.5,1,1,1,1
GyrI-like,0.5,1,1,1,1
Amidohydro_3,0.787096513806101,16,4,3,1
Epimerase,0.382320020634468,10,1,1,1
MFS_3,0.995579691470409,34,4,4,4
MdcE,0.5,1,1,1,1
VWA,0.176008294701164,10,1,1,1
HTH_5,0.959586288966841,10,3,2,1
MatC_N,0.5,1,1,1,1
DDE_Tnp_1_6,0.5,1,1,1,1
Lipase_GDSL_3,0.977357989806683,9,1,1,1
Ricin_B_lectin,0.5,1,1,1,1
HTH_AsnC-type,1,2,2,0,0
LacAB_rpiB,0.98373326662806,4,1,1,0
PASTA,0.5,1,1,1,1
CRISPR_Cse1,0.5,1,1,1,1
Carbam_trans_N,0.194313297239554,6,1,1,1
Spore_YtfJ,0.5,1,1,1,1
GFO_IDH_MocA_C,0.5,1,1,1,1
Sigma70_r2,0.986617269621145,30,4,4,3
HSP70,0.5,1,1,1,1
ParBc,0.863767751307137,10,1,1,1
GFO_IDH_MocA,0.5,1,1,1,1
Orn_Arg_deC_N,0.979298307811019,11,2,1,1
AHSA1,1,2,1,0,0
ATP-synt_ab,0.789953926748385,10,1,1,1
Hydrolase_4,0.950799263127621,8,1,1,1
MarR_2,0.999493420851691,11,2,1,1
GntR,0.5,1,1,1,1
ADH_zinc_N,1,2,2,0,0
Pkinase,0.764593214968234,6,2,1,1
RDD,0.555616454512624,6,1,1,1
Rhodanese,0.5,1,1,1,1
Methyltransf_2,0.5,1,1,1,1
PALP,0.905846063298154,16,2,2,2
Sigma70_r4_2,0.987580787149494,22,3,3,2
CHAT,0.5,1,1,1,1
AraC_binding_2,0.5,1,1,1,1
AMP-binding_C,0.850971956874177,66,11,7,7
cNMP_binding,0.5,1,1,1,1
Molybdopterin,0.222245919739694,9,1,1,1
SKI,0.5,1,1,1,1
HNH,0.64018439966448,4,1,1,0
IstB_IS21,NaN,9,1,1,1
LacI,0.5,1,1,1,1
CO_deh_flav_C,1,2,2,0,0
BPD_transp_2,0.5,1,1,1,1
Radical_SAM,0.919151668511757,16,2,2,2
PhoD,0.5,1,1,1,1
3-dmu-9_3-mt,0.971726429311215,3,1,1,0
PemK_toxin,0.659523088644854,6,1,1,1
TerD,0.5,1,1,1,1
Acetyltransf_3,0.973293897530614,9,2,1,1
CorA,0.392465094592599,10,1,1,1
M20_dimer,0.936118411820471,10,1,1,1
TerC,0.998602225163752,3,1,1,0
LysE,0.5,1,1,1,1
PhoD_N,0.5,1,1,1,1
Oxidored_q3,0.946448490877111,9,1,1,1
Glyco_hydro_85,0.5,1,1,1,1
BCCT,0.562304042258818,10,1,1,1
Pro_isomerase,0.5,1,1,1,1
YjdM_Zn_Ribbon,1,2,1,0,0
Lactamase_B_2,NaN,6,1,1,1
NAD_binding_1,0.5,1,1,1,1
SIS,0.923617107463383,12,3,1,1
CBM_2,0.5,1,1,1,1
RNase_PH_C,NaN,6,1,1,1
NAD_binding_10,0.999992805968972,4,2,1,0
HD_6,0.5,1,1,1,1
DJ-1_PfpI,0.905003797841452,11,3,1,1
adh_short,0.999112262972447,19,3,2,2
Fer2,0.99932568296938,11,2,1,1
CRCB,0.5,1,1,1,1
DUF3327,0.919983364203394,10,1,1,1
Amidohydro_1,0.973844781754805,8,1,1,1
Voltage_CLC,0.5,1,1,1,1
XdhC_CoxI,0.5,1,1,1,1
Y_phosphatase3,0.999123456633269,17,2,2,2
DUF1992,0.940673743873109,10,1,1,1
DUF3105,0.999815684907184,12,2,2,1
HMGL-like,0.969397400803444,8,1,1,1
Pyridox_ox_2,0.5,1,1,1,1
HTH_6,1,2,1,0,0
Peptidase_M6,0.689592269304019,6,1,1,1
ANTAR,0.5,1,1,1,1
DapB_C,0.959052636425386,9,1,1,1
DoxX,0.5,1,1,1,1
sCache_3_2,0.5,1,1,1,1
bPH_3,NaN,5,1,1,1
Polysacc_deac_1,0.894007089002725,11,3,1,1
PAS,0.5,1,1,1,1
Glyoxalase_6,0.945538731659588,10,1,1,1
PTS_EIIC,0.732042419501564,6,1,1,1
DUF5707,0.5,1,1,1,1
HTH_IclR,1,2,1,0,0
Glyco_hydro_38C,0.5,1,1,1,1
FAD_binding_5,1,2,2,0,0
Acyl_transf_1,0.5,1,1,1,1
EVE,0.5,1,1,1,1
GerE,0.872576265814809,3,3,0,0
HTH_17,0.5,1,1,1,1
OpuAC,0.213228200709938,6,1,1,1
FAD_binding_4,0.129791078693006,6,1,1,1
PLDc_2,-0.0862557205820273,10,1,1,1
HATPase_c,0.5,1,1,1,1
DEDD_Tnp_IS110,0.5,1,1,1,1
ROK,1,2,2,0,0
Gp_dh_N,0.5,1,1,1,1
DUF2273,0.000111532382877508,10,1,1,1
CLP_protease,0.929898185521981,14,2,2,1
EPSP_synthase,0.122923163977906,10,1,1,1
